rank,word,total_count,contemporary,late_qing,mingqing,republican,socialist
659,民兵,3276,229,16,21,13,2997
660,大事,3274,573,985,868,340,508
661,小心,3270,685,697,585,525,778
662,这回,3270,877,649,139,482,1123
663,一股,3270,1302,313,200,415,1040
664,差不多,3270,895,498,148,1023,706
665,整个,3266,1658,15,8,582,1003
666,打发,3264,257,888,1560,247,312
667,何必,3262,325,1080,766,854,237
668,浑身,3258,895,461,544,352,1006
669,贤弟,3256,6,1582,1407,249,12
670,城里,3248,857,531,334,847,679
671,心情,3231,1061,28,43,636,1463
672,接过,3226,641,698,477,546,864
673,只怕,3220,182,1262,1478,144,154
674,目光,3208,2007,26,18,336,821
675,忽见,3205,31,1623,1352,102,97
676,从来,3195,1190,285,511,488,721
677,一对,3195,590,675,526,877,527
678,山上,3193,515,924,569,464,721
679,不对,3188,752,456,119,902,959
680,不让,3187,1236,172,74,622,1083
681,就算,3186,961,590,143,711,781
682,感情,3178,1026,36,10,1159,947
683,一头,3178,842,585,837,336,578
684,任何,3174,1784,4,12,566,808
685,口气,3174,917,287,243,595,1132
686,一手,3171,555,685,565,610,756
687,睡觉,3166,938,501,290,645,792
688,行李,3165,255,1099,1214,360,237
689,第一,3163,605,697,560,641,660
690,一层,3159,808,617,219,844,671
691,大娘,3159,183,362,566,619,1429
692,干什么,3159,1082,93,27,728,1229
693,要紧,3156,365,1057,722,543,469
694,光景,3153,207,1151,1149,411,235
695,两天,3148,712,746,96,772,822
696,男女,3146,515,928,659,770,274
697,昨天,3141,791,533,2,966,849
698,向前,3128,499,478,1000,477,674
699,伺候,3126,202,1374,1008,464,78
700,热闹,3125,639,674,412,858,542
701,知县,3119,4,1055,1986,62,12
702,无法,3119,1582,458,137,546,396
703,不久,3117,659,509,323,938,688
704,组织,3111,1027,54,1,359,1670
705,他家,3108,503,750,1101,233,521
706,紧紧,3104,876,267,377,580,1004
707,安排,3104,1021,324,743,322,694
708,重要,3096,1245,83,7,637,1124
709,此人,3094,206,1454,1299,79,56
710,变得,3078,1625,17,71,450,915
711,不愿,3077,857,472,295,915,538
712,大约,3072,481,1089,460,718,324
713,社会,3069,1140,147,20,1089,673
714,急忙,3061,568,671,466,257,1099
715,脖子,3061,1160,167,127,583,1024
716,随便,3052,782,414,109,1017,730
717,兴奋,3051,859,1,1,897,1293
718,全都,3050,1179,580,52,336,903
719,见到,3041,1380,99,70,555,937
720,的这,3038,900,501,279,716,642
721,进行,3030,1173,55,24,349,1429
722,师傅,3026,743,606,184,1327,166
723,不料,3025,220,1252,575,746,232
724,结婚,3022,1415,51,36,1038,482
725,医生,3020,995,509,155,810,551
726,何以,3016,79,1435,1028,458,16
727,脸色,3010,1014,82,43,978,893
728,道人,3007,20,880,1128,969,10
729,忍不住,3002,952,219,227,679,925
730,人物,3002,593,553,424,968,464
731,姊妹,3001,108,1346,802,578,167
732,抓住,2999,870,217,95,531,1286
733,没人,2996,1057,433,539,425,542
734,带来,2991,998,519,369,478,627
735,休息,2981,637,175,56,942,1171
736,政府,2981,681,371,4,468,1457
737,全部,2975,1440,92,39,342,1062
738,一段,2962,789,483,493,633,564
739,最好,2961,983,422,226,794,536
740,此地,2958,374,1537,655,341,51
741,勉强,2957,466,619,589,887,396
742,弟子,2955,66,988,979,909,13
743,船上,2950,187,1282,842,517,122
744,各人,2948,130,1330,643,604,241
745,谈话,2947,590,145,19,1239,954
746,二爷,2939,166,916,831,984,42
747,由于,2939,1014,72,70,634,1149
748,丫头,2937,203,843,1424,262,205
749,虽是,2934,165,943,1136,514,176
750,再也,2933,1093,234,282,357,967
751,夜里,2928,1181,157,192,513,885
752,这事,2926,817,579,493,679,358
753,以及,2925,844,583,187,953,358
754,之下,2923,509,631,791,710,282
755,况且,2921,110,1190,901,558,162
756,徒弟,2921,183,917,894,871,56
757,忘记,2916,748,274,162,1031,701
758,随后,2916,372,850,817,307,570
759,叔叔,2914,1043,255,505,372,739
760,反正,2910,1070,79,11,684,1066
761,激动,2908,1010,24,7,525,1342
762,下午,2908,988,234,55,980,651
763,微微,2906,624,209,249,1148,676
764,斗争,2900,364,2,2,297,2235
765,缘故,2896,184,918,894,760,140
766,无奈,2893,376,1543,654,272,48
767,提出,2892,913,149,112,422,1296
768,心上,2890,174,1245,615,412,444
769,几次,2887,922,438,278,676,573
770,鼻子,2884,803,284,216,759,822
771,一带,2878,347,868,478,408,777
772,依然,2874,1073,487,232,811,271
773,好处,2872,443,760,566,553,550
774,或是,2870,521,599,635,714,401
775,故事,2868,955,397,329,689,498
776,此处,2866,55,1647,1039,105,20
777,一副,2865,949,484,445,474,513
778,女士,2865,58,461,8,2326,12
779,全是,2864,701,610,113,762,678
780,当中,2861,337,1159,227,447,691
781,一支,2860,906,436,148,479,891
782,一一,2859,300,1035,932,261,331
783,不免,2858,249,1364,488,636,121
784,遇见,2851,241,1120,627,681,182
785,当年,2848,1516,401,443,255,233
786,提起,2847,442,621,635,606,543
787,昨日,2844,65,963,1655,139,22
788,迎接,2834,246,876,1132,282,298
789,行动,2833,699,162,201,506,1265
790,胳膊,2829,975,133,126,484,1111
791,研究,2827,832,288,6,529,1172
792,门前,2822,566,548,841,548,319
793,着急,2819,315,729,469,515,791
794,灯光,2819,690,421,259,761,688
795,两边,2815,369,656,938,366,486
796,石头,2813,937,351,190,451,884
797,介绍,2811,795,207,11,941,857
798,到来,2809,476,992,749,277,315
799,大成,2808,5,157,49,62,2535
800,山东,2804,118,1322,809,384,171
801,没想到,2803,1718,33,14,499,539
802,右手,2797,305,388,482,982,640
803,掏出,2794,838,360,161,471,964
804,其余,2791,248,877,801,447,418
805,赶到,2790,496,716,578,308,692
806,老道,2787,15,1857,407,372,136
807,楼上,2785,555,662,670,533,365
808,高大,2781,295,176,97,203,2010
809,作为,2780,1225,482,146,428,499
810,说起,2777,488,833,655,440,361
811,走到,2777,531,423,482,647,694
812,之上,2776,194,1287,974,272,49
813,觉着,2773,241,274,73,205,1980
814,周围,2772,830,259,228,545,910
815,算是,2770,835,554,172,696,513
816,随即,2769,323,732,1044,390,280
817,自家,2765,479,772,930,456,128
818,之外,2763,544,897,556,485,281
819,各自,2762,527,745,869,375,246
820,心想,2759,580,561,117,908,593
821,椅子,2758,683,411,220,983,461
822,即使,2753,1154,206,278,743,372
823,老头,2751,897,150,73,584,1047
824,是从,2738,934,456,120,565,663
825,立即,2734,1129,275,86,230,1014
826,不禁,2730,470,916,292,527,525
827,看时,2729,102,620,1546,351,110
828,模样,2722,693,424,933,407,265
829,怎么办,2722,827,99,20,580,1196
830,重新,2717,1120,317,156,524,600
831,方面,2715,855,84,20,852,904
832,大小,2714,376,780,834,378,346
833,朝廷,2709,278,877,1377,164,13
834,生命,2704,1162,64,58,921,499
835,一个个,2699,838,604,556,220,481
836,粮食,2691,646,150,173,190,1532
837,天天,2690,695,674,178,704,439
838,曾经,2687,943,384,76,709,575
839,活动,2687,662,129,72,506,1318
840,贼人,2687,12,1881,519,273,2
841,何人,2682,26,1368,1202,82,4
842,同学,2682,1028,136,47,703,768
843,而已,2679,434,914,717,536,78
844,走来,2678,356,441,847,398,636
845,不够,2675,686,278,160,562,989
846,同意,2672,889,18,18,354,1393
847,剩下,2670,953,195,201,539,782
848,之前,2669,1165,316,308,435,445
849,一下子,2669,1071,129,52,364,1053
850,不断,2666,1047,171,157,428,863
851,大王,2666,34,683,1825,65,59
852,一杯,2666,384,590,867,512,313
853,屋子,2665,465,386,101,1186,527
854,肯定,2662,1984,3,13,133,529
855,天气,2662,387,572,585,739,379
856,你家,2660,364,858,878,242,318
857,自有,2659,162,1038,1218,217,24
858,大队,2659,1444,363,101,73,678
859,纷纷,2658,548,859,560,290,401
860,屋子里,2652,349,115,15,1512,661
861,颜色,2651,641,499,465,745,301
862,考虑,2649,1246,7,6,250,1140
863,军士,2647,66,827,1571,182,1
864,不及,2645,111,1254,921,290,69
865,无不,2643,103,1140,1187,188,25
866,前日,2639,23,781,1778,47,10
867,议论,2638,529,762,411,401,535
868,不准,2637,448,994,237,439,519
869,第一次,2633,1238,78,12,627,678
870,毕竟,2631,894,300,977,287,173
871,嘴唇,2625,791,80,45,933,776
872,快乐,2623,479,209,196,1432,307
873,本领,2619,160,823,411,944,281
874,哪个,2614,966,358,92,419,779
875,生意,2612,652,851,411,525,173
876,姊姊,2610,10,934,1239,392,35
877,报仇,2608,117,988,602,418,483
878,三年,2607,471,645,777,442,272
879,再三,2604,199,840,1236,148,181
880,安慰,2602,604,283,221,982,512
881,得意,2601,413,541,342,694,611
882,解释,2599,1098,109,82,596,714
883,上下,2597,364,886,658,361,328
884,干净,2594,656,450,489,572,427
885,走过,2589,610,423,393,636,527
886,平日,2589,314,803,720,590,162
887,客气,2582,630,384,22,1018,528
888,担心,2582,1225,57,29,393,878
889,一惊,2574,429,610,703,362,470
890,慌忙,2572,165,583,1239,169,416
891,眼里,2570,976,118,234,483,759
892,黑暗,2568,982,139,123,749,575
893,其他,2565,1207,78,88,499,693
894,不该,2563,633,407,584,511,428
895,连长,2557,440,6,2,93,2016
896,好象,2552,318,131,85,1230,788
897,当初,2548,705,500,784,347,212
898,秀才,2542,103,645,1602,154,38
899,土地,2542,688,326,371,212,945
900,妹子,2539,146,796,1203,161,233
901,老子,2537,743,594,483,278,439
902,看出,2534,805,204,111,616,798
903,一向,2532,532,564,648,379,409
904,有事,2531,397,732,570,413,419
905,要说,2527,604,472,195,687,569
906,懂得,2523,537,441,65,795,685
907,人群,2521,1099,47,14,241,1120
908,赶快,2520,369,240,45,838,1028
909,不安,2519,484,363,466,620,586
910,怀里,2519,889,251,196,429,754
911,仍旧,2519,171,1020,434,672,222
912,开门,2517,468,556,762,357,374
913,沉默,2512,832,4,2,1012,662
914,自由,2510,676,462,67,810,495
915,成为,2505,1177,129,51,707,441
916,一群,2505,746,244,165,587,763
917,困难,2504,629,55,2,436,1382
918,地问,2503,914,3,16,358,1212
919,身后,2503,1033,223,103,410,734
920,令人,2496,592,684,652,363,205
921,公司,2495,1500,231,1,457,306
922,弟弟,2491,1300,30,67,664,430
923,老先生,2488,352,469,730,849,88
924,尤其,2487,1108,248,32,722,377
925,美丽,2483,862,131,62,1041,387
926,摇头,2481,572,366,217,829,497
927,早晨,2479,614,263,200,842,560
928,无论,2478,560,840,192,678,208
929,小孩,2478,401,273,55,1335,414
930,小孩子,2476,283,491,276,950,476
931,简单,2475,950,13,2,660,850
932,名叫,2474,182,1497,391,205,199
933,任务,2473,528,9,2,86,1848
934,胜利,2470,339,3,2,498,1628
935,再来,2470,366,844,506,460,294
936,肚子,2468,749,269,144,525,781
937,严肃,2468,618,39,35,906,870
938,正好,2467,890,283,393,323,578
939,不得不,2456,733,468,248,570,437
940,睡着,2455,706,365,350,509,525
941,一说,2454,477,487,216,573,701
942,知府,2445,45,1339,855,204,2
943,多年,2440,1028,451,204,394,363
944,进城,2440,265,657,763,446,309
945,婆婆,2439,425,449,738,362,465
946,逃走,2438,76,1263,576,339,184
947,解决,2436,911,35,1,533,956
948,老实,2432,398,324,375,643,692
949,一套,2430,764,278,272,406,710
950,走上,2429,471,336,358,720,544
951,感激,2429,441,582,430,563,413
952,不由,2429,600,629,471,422,307
953,计划,2428,636,54,2,598,1138
954,宋江,2426,24,10,2384,6,2
955,往来,2422,95,884,1005,235,203
956,当日,2419,34,844,1349,155,37
957,冷笑,2417,462,557,414,569,415
958,一间,2412,488,536,351,694,343
959,寨主,2412,13,1460,316,622,1
960,越来越,2411,1346,15,9,284,757
961,比较,2410,866,213,90,603,638
962,人人,2409,443,805,589,323,249
963,无数,2407,380,1002,429,367,229
964,那人,2404,313,1047,564,277,203
965,个个,2402,304,881,743,189,285
966,大笑,2402,328,535,798,369,372
967,尚未,2400,189,1062,895,154,100
968,更是,2396,711,489,288,550,358
969,天空,2392,807,83,20,624,858
970,远远,2392,409,516,573,469,425
971,半个,2386,689,373,331,436,557
972,地笑,2385,653,11,9,782,930
973,很大,2382,729,109,12,649,883
974,想想,2382,875,306,79,379,743
975,一辈子,2382,983,220,54,450,675
976,医院,2378,1347,30,2,558,441
977,公馆,2378,51,1517,277,339,194
978,左手,2376,225,376,467,909,399
979,一点儿,2374,564,200,96,955,559
980,互相,2372,661,322,246,507,636
981,为人,2371,148,881,778,370,194
982,农民,2368,944,15,16,236,1157
983,秘密,2365,561,194,34,694,882
984,确实,2364,1211,76,27,357,693
985,幸福,2364,833,55,4,818,654
986,之内,2364,207,1067,722,252,116
987,尽管,2360,957,257,23,504,619
988,父子,2355,131,820,953,229,222
989,家庭,2352,823,202,47,910,370
990,法子,2352,161,1030,94,787,280
991,吃酒,2351,89,990,1110,129,33
992,顺着,2351,486,263,141,530,931
993,往前,2342,332,532,362,683,433
994,往外,2339,334,616,288,513,588
995,两手,2327,271,302,356,642,756
996,几时,2326,60,886,1063,202,115
997,之意,2323,68,635,1465,115,40
998,一块儿,2321,461,207,42,687,924
999,恰好,2313,55,893,837,420,108
1000,脾气,2311,532,503,52,665,559
